,level_0,Unnamed: 0,index,EGRIN2.block,conds
1783,1783,1783,2412,respiration inhibitors - antitubercular drugs,X0.1mMGSNO.20ug.mLCPZvsDMSO.6h X0.1mMGSNO.20ug.mLCPZvsDMSO.6hA X0.1mMGSNO.5ug.mLKCNvsDMSO.6h X0.5uMValinomycinvsDMSO.6h X100uM.DCCD.DMSO..6h X10ug.mL.clotrimvsEtOH..6h X10ug.mL.ClotrimvsEtOH..6hA X10ug.mL.EconazolevsEtOH..6h X10ug.mL.EconazolevsEtOH..6hA X10ug.mL.TRZ.DMSO..6h..2 X10ug.mLchlorpromazinevsctrl.6hA X10uM.CCCP.DMSO..6h X10uM.ValinomycinvsDMSO..6h X1mM.DNP.DMSO..6h..1 X1mM.DNP.DMSO..6h..2 X1uM.ValinomycinvsDMSO..6h X1uM.ValinomycinvsDMSO..6h.A X1uM.ValinomycinvsDMSO..6h.B X20ug.mL.chlorprmz.DMSO..6h..1 X20ug.mL.chlorprmz.DMSO..6h..2 X20ug.mL.CPZvsDMSO..6h X20ug.mL.CPZvsDMSO..6h.A X20ug.mL.KCN.DMSO..6h X20uM.DCCD.DMSO..6h..1 X20uM.DCCD.DMSO..6h..2 X24ug.mL.cltrmazole.DMS..6h..1 X24ug.mL.cltrmazole.DMS..6h..2 X24ug.mL.cltrmazole.DMS..6h..3 X24ug.mL.Econazole.DMSO..6h..1 X25ug.mL.CPZvsDMSO..6h.A X25ug.mL.CPZvsDMSO..6h.B X25ug.mL.TRZ.DMSO..6h X25ug.mLCPZ.0.1mMGSNO.DMSO..1 X25ug.mLCPZ.0.1mMGSNO.DMSO..2 X25ug.mLCPZ.0.1mMGSNO.DMSO..3 X25ug.mLCPZ.0.1mMGSNOvsDMSO.A X2mM.DTTvsDMSO..6h X50uM.CCCP.DMSO..6h..1 X50uM.CCCPvsDMSO..6h X50uM.NigericinvsDMSO..6h X5ug.mL.CFZ.0.1mM.GSNO.DMSO..1 X5ug.mL.CFZ.0.1mM.GSNO.DMSO..2 X5ug.mL.KCN.DMSO..6h..1 X5ug.mL.KCN.DMSO..6h..2 X5ug.mLCFZ.0.1mMGSNOvsDMSO.A X6ug.mL.MenadionevsDMSO..6h CDC1551.ctrl.vs.10.ug.ml.Thioridazine.1hr.rep.1 CDC1551.ctrl.vs.10.ug.ml.Thioridazine.2hr.rep.2 CDC1551.ctrl.vs.10.ug.ml.Thioridazine.6hr.rep.2 CDC1551.ctrl.vs.40.ug.ml.Thioridazine.1hr.rep.1 CDC1551.ctrl.vs.40.ug.ml.Thioridazine.1hr.rep.2 CDC1551.ctrl.vs.40.ug.ml.Thioridazine.2hr.rep.1 CDC1551.ctrl.vs.40.ug.ml.Thioridazine.2hr.rep.2 CDC1551.ctrl.vs.40.ug.ml.Thioridazine.4hr.rep.1 CDC1551.ctrl.vs.40.ug.ml.Thioridazine.6hr.rep.1 CDC1551.ctrl.vs.40.ug.ml.Thioridazine.6hr.rep.2 MTB.strain.1254.Ctrl.vs.0.5.mM.KCN.1hr.rep.3 X20ug.ml.KCN.vs.DMSO.6hrs.x X20ug.ml.KCN.vs.DMSO.6hrs.y
1784,1784,1784,2413,others - antitubercular drugs,X0.2ug.mL.PA824.DMSO..6h..2 X10ug.mL.methoxatinvsDMSO..6h.A X10ug.mL.PA.1vsDMSO..6h X10ug.mL.PA.1vsDMSO..6hA X10ug.mL.PA.1vsDMSO..6hB X10ug.mL.PA.21vsDMSO..6h X10ug.mL.PA.21vsDMSO..6hA X10ug.mLMethoxatinvsDMSO.6h X12.5ug.mL.AntimycinvsDMSO..6h X1mM.DTNBvsDMSO..6h X20ug.mL.methoxatinvsDMSO..6h X20ug.mL.Prcp.6776.DMSO..6h..1 X20ug.mL.Prcp.6778.DMSO..6h..1 X20ug.mL.Prcp.6778.DMSO..6h..2 X20ug.mL.Procept.6776vsDMSO..6h X20ug.mLProcept6778vsDMSO.6h X20ug.mLProcept6778vsDMSO.6hA X20ug.mLProcept6778vsDMSO.6hB X25ug.mL.AntimycinvsDMSO..6h X2mM.DTNBvsDMSO X2mMb.mercaptoethanolvsDMSO.6h X2ug.ml.PA.824.vs.DMSO.6hrs.rep.1.x X2ug.mL.PA824.DMSO..6h..1 X2ug.mL.PA824.DMSO..6h..2 X30ug.mLProcept6776vsDMSO.6h X30ug.mLProcept6776vsDMSO.6hA X40ug.mLProcept6778vsDMSO.6h X40ug.mLProcept6778vsDMSO.6hA X50ug.mL.PA.1vsDMSO..6h X50ug.mL.PA.21vsDMSO..6h X50ug.mL.PA.21vsDMSO..6hA X50ug.mLAntimycinAvsDMSO..6h X50ug.mLAntimycinAvsDMSO..6hA X50ug.mLAntimycinAvsDMSO..6hB X5ug.mLProcept.6778vsDMSO.6h X5ug.mLProcept.6778vsDMSO.6hA MTB.at.T180..biological.rep1 MTB.at.T180..biological.rep4 MTB.at.T30..biological.rep1 MTB.at.T30..biological.rep2 MTB.at.T30..biological.rep3 MTB.at.T360..biological.rep2 MTB.at.T360..biological.rep3 MTB.at.T60..biological.rep2 X0.4ug.mL.PA824.DMSO..6h..1 X0.4ug.mL.PA824.DMSO..6h..2 X0.4ug.mL.PA824.DMSO..6h..3 X0.4ug.mL.PA824.DMSO..6h..4 X2ug.ml.PA.824.vs.DMSO.6hrs.rep.1.y X2ug.ml.PA.824.vs.DMSO.6hrs.rep.2
1785,1785,1785,2414,cell wall inhibitors - antitubercular drugs,MTB1254.3524.1._INH_20MIN MTB1254_INH_20MIN X.109..0.1ug.mL..vs.DMSO..12h..GEO.acc.GSM28050. X.109..10ug.mL..DMSO..12h..replicate.2..GEO.acc..GSM28054. X.109..1ug.mL..vs.DMSO..12h..replicate.1..GEO.ac.GSM28051. X.109..1ug.mL..vs.DMSO..12h..replicate.2..GEO.acc.GSM28052. X.241..0.1ug.mL..DMSO..12h..1..GEO.acc.GSM28046. X.241..1ug.mL..DMSO..12h..1 X0.13mg.mL.TLMvsDMSO..6h X0.13mg.mL.TLMvsDMSO..6hA X0.15mg.mL.TricvsEtOH..6hA X0.1mg.mL.TriclosanvsEtOH..6h X0.1mg.mL.TriclosanvsEtOH..6hA X0.1mg.mLTriclosanvsEtOH.6hB X0.1mg.mLTriclosanvsEtOH.6hC X0.2mg.mL.AmpvsEtOH..6hB X0.2mg.mL.AmpvsEtOH..6hC X0.2mg.mL.TLMvsEtOH..6h X0.2ug.ml.Isoniazid.vs.Ethanol.6hrs.rep.3.y X0.32ug.mL.CervsEtOH..6h X0.32ug.mL.CervsEtOH..6hA X0.4ug.mL.INHvsEtOH..6h X0.4ug.mL.INHvsEtOH..6hA X0.5ug.mL.CeruleninvsDMSO..6hA X0.5ug.mL.CeruleninvsDMSO..6hB X0.5ug.mL.CeruleninvsDMSO..6hC X0.5ug.mL.CervsEtOH..6h X0.5ug.mL.CervsEtOH..6hA X100ug.mL.Ceph.DMSO..6h X100ug.mL.TriclosanvsEtOH..6hA X100ug.mLCephalexinvsEtOH.6h X100ug.mLCephalexinvsEtOH.6hA X10ug.mL..109.DMSO..6h X10ug.mL..109vsDMSO..6h X10ug.mL..109vsDMSO..6hA X10ug.mL..241vsDMSO..6h X10ug.mL..59vsDMSO..6h X10ug.mL..59vsDMSO..6hA X10ug.mL.EMBvsDMSO..6h X10ug.mL.EMBvsDMSO..6hA X10ug.mL.TriclosanvsDMSO..6h X10ug.mL.TriclosanvsDMSO..6hA X10ug.mL.TriclosanvsDMSO..6hB X10ug.mL.TriclosanvsDMSO..6hC X12ug.ml.Ethionamide.vs.Ethanol.6hrs.rep.1.y X130ug.mL.TLMvsDMSO..6h X130ug.mL.TLMvsDMSO..6hA X1ug.mL..109vsDMSO..6h X1ug.mL..109vsDMSO..6hA X1ug.mL..241vsDMSO..6h X1ug.mL..241vsDMSO..6hA X1ug.mL..59vsDMSO..6h X1ug.mL..59vsDMSO..6hA X20ug.mL.Cephalexin.Ctrl..6h..1 X20ug.mL.Cephalexin.Ctrl..6h..2 X20ug.mL.ethambutol.DMSO X50ug.mL.Triclosan.DMSO..6h X50ug.mL.Triclosan.EtOH X50ug.mL.TriclosanvsEtOH..6h X50ug.mL.TriclosanvsEtOH..6hA DIPED..100ug.mL..DMSO..12h..1 DIPED..100ug.mL..DMSO..12h..2 DIPED..100ug.mL..DMSO..12h..3 DIPED..50ug.mL..DMSO..12h DIPED.10ug.mL.vs.DMSO.12h.1 DIPED.10ug.mL.vs.DMSO.12h.2 DIPED.50ug.mL.vs.DMSO.12h.1 DIPED.50ug.mL.vs.DMSO.12h.2 DIPED.5ug.mL.vs.DMSO.12h.1 DIPED.5ug.mL.vs.DMSO.12h.2 EMB.10ug.mL.vs.DMSO.12h.1 EMB.10ug.mL.vs.DMSO.12h.3 EMB.10ug.mL.vs.DMSO.12h.4 H37Rv.Control.vs.400.ug.ml.vancomycin.for.1.hr.DS.rep.1 H37Rv.Control.vs.400.ug.ml.vancomycin.for.1.hr.DS.rep.2 H37Rv.Control.vs.400.ug.ml.vancomycin.for.1.hr.rep.1 H37Rv.Control.vs.400.ug.ml.vancomycin.for.1.hr.rep.2 H37Rv.Control.vs.400.ug.ml.vancomycin.for.4.hrs.DS.rep.1 H37Rv.Control.vs.subinhibitory.conc..5.ug.ml..vancomycin.DS.rep.1 H37Rv.Control.vs.subinhibitory.conc..5.ug.ml..vancomycin.DS.rep.2 H37Rv.Control.vs.subinhibitory.conc..5.ug.ml..vancomycin.rep.1 H37Rv.Control.vs.subinhibitory.conc..5.ug.ml..vancomycin.rep.2 H37Rv.nutrient.starved..ctrl.vs.1ug.ml.Isoniazid.for.2hrs.rep.1 X0.13mg.ml.TLM.vs.DMSO.6hrs.rep.1 X0.13mg.ml.TLM.vs.DMSO.6hrs.rep.2 X0.2mg.ml.Ampicillin.vs.Ethanol.6hrs X0.32ug.mL.Cerulenin.vs.Ethanol.6hrs.rep.1 X0.32ug.mL.Cerulenin.vs.Ethanol.6hrs.rep.2 X0.5ug.mL.Cerulenin.vs.DMSO..6hrs.rep.1 X0.5ug.mL.Cerulenin.vs.DMSO..6hrs.rep.2 X0.5ug.mL.Cerulenin.vs.DMSO..6hrs.rep.3 X0.5ug.mL.Cerulenin.vs.DMSO..6hrs.rep.4 X0.5ug.mL.Cerulenin.vs.Ethanol..6hrs.rep.1 X0.5ug.mL.Cerulenin.vs.Ethanol..6hrs.rep.2 X10ug.ml.Ethambutol.vs.DMSO.12hrs.3 X130ug.ml.TLM.vs.DMSO.6hrs.rep.1 X130ug.ml.TLM.vs.DMSO.6hrs.rep.2
1786,1786,1786,2415,aromatic amides - antitubercular drugs,X0.12mg.mL.BZA.pH5.6..2h. X0.12mg.mL.BZA.pH5.6..4h..1 X0.12mg.mL.BZA.pH5.6..4h..2 X0.12mg.mL.Nam.pH5.6..2h..1 X0.12mg.mL.Nam.pH5.6..2h..2 X0.12mg.mL.Nam.pH5.6..4h..1 X0.12mg.mL.Nam.pH5.6..4h..2 X0.12mg.mL.NamvspH5.6..5.5h. X0.12mg.mL.PZA.pH5.6..2.5h. X0.12mg.mL.PZA.pH5.6..2h. X0.12mg.mL.PZA.pH5.6..4h..1 X0.12mg.mL.PZA.pH5.6..4h..2 X0.12mg.mL.PZAvspH5.6..10.5h. X0.12mg.mL.PZAvspH5.6..11h. X0.12mg.mL.PZAvspH5.6..4h. X0.12mg.mL.PZAvspH5.6..4h.A X0.12mg.mL.PZAvspH5.6..6h.A X1.2mg.mL.NamvspH5.6..10.5h. X1.2mg.mL.NamvspH5.6..5h. X1.2mg.mL.PZA.pH5.6..2h.. X1.2mg.mL.PZAvspH5.6..16h. X1.2mg.mL.PZAvspH5.6..4h. X1.2mg.mL.PZAvspH5.6..4h.A X1.2mg.mL.PZAvspH5.6..4h.B X1.2mg.mL.PZAvspH5.6..6h.A X1.2mg.mL.PZAvspH5.6..7h.A X40ug.mL.5CL.pH5.6..2h..1 X40ug.mL.5CL.pH5.6..2h..2 X40ug.mL.5CL.pH5.6..4h..2 X40ug.mL.5CL.pH5.6..4h..3 X80ug.mL.5CL.pH5.6..2h.
1787,1787,1787,2416,fatty acids - carbon source,AA_10uM_10.min_01 AA_10uM_10min_01 AA_30uM_10.min_04 AA_30uM_10m_01 AA_30uM_10min_02 AA_30uM_10min_03 AA_30uM_1h_01 AA_30uM_1h_02 AA_30uM_1h_03 AA_30uM_1h_04 AA_30uM_1h_05 AA_30uM_1h_07 AA_30uM_1h_08 AA_30uM_2h_02 AA_30uM_2h_03 AA_30uM_2h_04 AA_30uM_2h_06 AA_30uM_2h_07 AA_30uM_30min_01 AA_30uM_30min_02 AA_30uM_30min_04 AA_30uM_30min_05 AA_30uM_30min_06 AA_30uM_30min_07 AA_30uM_30min_08 AA_30uM_30min_09 AA_30uM_4h_01 AA_30uM_4h_03 AA_30uM_4h_04 AA_30uM_4h_05 AA_30uM_4h_06 AA_30uM_4h_07 AA_30uM_4h_08 AA_30uM_4h_09 AA_3uM_10.min_01 AA_3uM_10min_02 L2A_30uM_10min_01 L2A_30uM_10min_02 L2A_30uM_10min_03 L2A_30uM_10min_07 L2A_30uM_10min_08 L2A_30uM_1h_01 L2A_30uM_1h_02 L2A_30uM_1h_05 L2A_30uM_1h_06 L2A_30uM_1h_08 L2A_30uM_2h_01 L2A_30uM_2h_02 L2A_30uM_2h_03 L2A_30uM_2h_04 L2A_30uM_2h_05 L2A_30uM_30min_01 L2A_30uM_30min_02 L2A_30uM_30min_03 L2A_30uM_30min_05 L2A_30uM_30Min_06 L2A_30uM_30min_07 L2A_30uM_4h_03 L2A_30uM_4h_05 L2A_30uM_4h_06 L2A_30uM_4h_07 LAA_50uM_10min_02 OA_50uM_10min_01 OA_50uM_10min_02 OA_50uM_10min_04 OA_50uM_10min_05 OA_50uM_10min_06 OA_50uM_10min_07 OA_50uM_10min_08 OA_50uM_1h_01 OA_50uM_1h_02 OA_50uM_1h_06 OA_50uM_1h_07 OA_50uM_1h_08 OA_50uM_1h_09 OA_50uM_1h_10 OA_50uM_24h_01 OA_50uM_24h_03 OA_50uM_24h_04 OA_50uM_24h_05 OA_50uM_24h_06 OA_50uM_2h_01 OA_50uM_2h_02 OA_50uM_2h_04 OA_50uM_2h_08 OA_50uM_2h_09 OA_50uM_30min_01 OA_50uM_30min_02 OA_50uM_30min_03 OA_50uM_30min_04 OA_50uM_30min_05 OA_50uM_30min_07 OA_50uM_30min_08 OA_50uM_30min_09 OA_50uM_4h_01 OA_50uM_4h_02 OA_50uM_4h_03 OA_50uM_4h_05 OA_50uM_4h_06 OA_50uM_4h_07 OA_50uM_4h_08 OA_50uM_4h_09 PA_100uM_24h_01 PA_100uM_2h_03 PA_5.uM_10min_02 PA_50uM_10.min_02 PA_50uM_10min_01 PA_50uM_10min_08 PA_50uM_10min_09 PA_50uM_12h_01 PA_50uM_12h_02 PA_50uM_12h_03 PA_50uM_12h_04 PA_50uM_12h_05 PA_50uM_12h_06 PA_50uM_1h_01 PA_50uM_24h_01 PA_50uM_24h_02 PA_50uM_24h_03 PA_50uM_24h_04 PA_50uM_24h_06 PA_50uM_24h_07 PA_50uM_24h_08 PA_50uM_24h_09 PA_50uM_24h_10 PA_50uM_2h_02 PA_50uM_2h_03 PA_50uM_2h_04 PA_50uM_2h_05 PA_50uM_2h_06 PA_50uM_2h_07 PA_50uM_2h_08 PA_50uM_30.min_05 PA_50uM_30.min_06 PA_50uM_30.min_07 PA_50uM_30min_01 PA_50uM_30min_02 PA_50uM_30min_03 PA_50uM_30min_08 PA_50uM_30min_09 PA_50uM_30min_10 PA_50uM_30min_11 PA_50uM_3d_01 PA_50uM_3d_02 PA_50uM_3d_03 PA_50uM_3d_04 PA_50uM_3d_05 PA_50uM_3d_06 PA_50uM_4h PA_50uM_4h_01 PA_50uM_4h_02 PA_50uM_4h_03 PA_50uM_4h_04 PA_50uM_4h_05 PA_50uM_4h_06 PA_50uM_4h_07 PA_50uM_8h_01 PA_50uM_8h_02 PA_50uM_8h_03 PA_50uM_8h_04 PA_50uM_8h_05 PA_50uM_8h_06 PA_5uM_10.min_01
1788,1788,1788,2418,DNA damage,H2O2.4mM.vs.ctrl.12h.1 MTB.strain.1254.Ctrl.vs.0.05.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.0.5.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.0.5.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.0.5.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.0.5.mM.H202.40min.rep.6 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.1 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.2 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.6 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.1 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.2 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.6 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.1 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.2 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.6 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.4hr.rep.1 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.4hr.rep.2 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.4hr.rep.3 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.1 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.2 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.6 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.6 UV.20J.vs.ctrl.8h.1 UV.40J.vs.8h.2 UV.40J.vs.ctrl.12h.1 UV.40J.vs.ctrl.8h.1 UV.60J.vs.ctrl.6h.1 X20mJ.UVvsctrl..6h. X40mJ.UV.ctrl..6h. X4mM.H2O2.ctrl..2h...1 X4mM.H2O2.ctrl..4h...1 X4mM.H2O2.ctrl..4h...2 X4mM.H2O2vsctrl..4h. X4mM.H2O2vsctrl..4h.A
1789,1789,1789,2419,iron scavengers - antitubercular drugs,X0.2ug.mL..111891.DMSO..5.5h..1 X0.2ug.mL..111891.DMSO..5.5h..2 X0.5ug.mL..111891vsDMSO.6h X0.5ug.mL..111891vsDMSO.6hA X0.5ug.mL..111895vsDMSO..6h X0.5ug.mL..111895vsDMSO.6h X0.5ug.mL..121940vsDMSO.6h X0.5ug.mL..121940vsDMSO.6hA X0.5ug.mL..124196vsDMSO..6h X0.5ug.mL..124196vsDMSO..6hA X1.ug.mL..111891vsDMSO..6h X100uM.Dipyridylvsctrl..6h X100uM.DipyridylvsCtrl..6hA X150uM.Deferroxaminevsctrl..6hA X150uM.Deferroxaminevsctrl..6hB X1ug.mL..111891.DMSO..12h..1 X1ug.mL..111891.DMSO..12h..2 X1ug.mL..111891vsDMSO..6h X1ug.mL..111895vsDMSO..6h X1ug.mL..111895vsDMSO..6hA X1ug.mL..121940.DMSO..12h X1ug.mL..124196vsDMSO..6hA X200uM.Dipyridylvsctrl..6hA X250uM.DeferroxaminevsDMSO..6h X2ug.mL..111891vsDMSO..6h X2ug.mL..111895vsDMSO..6h X2ug.mL..111895vsDMSO..6hA X2ug.mL..111895vsDMSO..6hB X2ug.mL..121940vsDMSO..6h X2ug.mL..121940vsDMSO..6hA X9ug.mLAscidideminNpvsDMSO.6h X9ug.mLAscidideminNpvsDMSO.6hA H37Rv.Ctrl.vs.2.ug.ml.garlic.extract.6hrs.rep.1 H37Rv.Ctrl.vs.5.ug.ml.garlic.extract.6hrs
1790,1790,1790,2420,DNA damage,H2O2.4mM.vs.ctrl.12h.1 MTB.strain.1254.Ctrl.vs.0.05.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.0.05.mM.H202.40min.rep.6 MTB.strain.1254.Ctrl.vs.0.5.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.0.5.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.0.5.mM.H202.40min.rep.6 MTB.strain.1254.Ctrl.vs.10.0.mM.H202.40min.rep.1 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.1 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.2 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.200.mM.H202.40min.rep.6 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.4hr.rep.1 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.4hr.rep.2 MTB.strain.1254.Ctrl.vs.5.0.mM.H202.4hr.rep.3 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.1 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.2 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.3 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.4 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.5 MTB.strain.1254.Ctrl.vs.50.0.mM.H202.40min.rep.6 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.1 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.2 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.3 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.4 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.5 MTB.strain1254.vs.MTB.strain.1254.for.H2O2.exp.control.rep.6 UV.40J.vs.ctrl.12h.1 X20mJ.UVvsctrl..6h. X25J.UV.ctrl..2h. X40mJ.UV.ctrl..6h. X60J.UVvsctrl..6h. X4mM.H2O2.ctrl..2h...1 X4mM.H2O2.ctrl..2h...2 X4mM.H2O2.ctrl..4h...1 X4mM.H2O2.ctrl..4h...2 X4mM.H2O2vsctrl..2h.A X4mM.H2O2vsctrl..4h. X4mM.H2O2vsctrl..4h.A
1791,1791,1791,2421,fatty acids - carbon source,AA_10uM_10.min_01 AA_10uM_10min_01 AA_30uM_10m_01 AA_30uM_10min_02 AA_30uM_1h_01 AA_30uM_1h_02 AA_30uM_1h_03 AA_30uM_1h_07 AA_30uM_1h_08 AA_30uM_2h_07 AA_30uM_2h_08 AA_30uM_30min_01 AA_30uM_30min_02 AA_30uM_30min_04 AA_30uM_30min_06 AA_30uM_30min_07 AA_30uM_30min_08 AA_30uM_30min_09 AA_30uM_4h_01 AA_30uM_4h_02 AA_30uM_4h_06 AA_30uM_4h_07 AA_30uM_4h_08 L2A_30uM_10min_08 L2A_30uM_1h_01 L2A_30uM_1h_02 L2A_30uM_1h_03 L2A_30uM_1h_05 L2A_30uM_1h_07 L2A_30uM_1h_08 L2A_30uM_1h_09 L2A_30uM_2h_01 L2A_30uM_2h_02 L2A_30uM_2h_03 L2A_30uM_2h_04 L2A_30uM_30min_01 L2A_30uM_30min_02 L2A_30uM_30min_03 L2A_30uM_30min_04 L2A_30uM_30min_07 L2A_30uM_4h_03 L2A_30uM_4h_04 L2A_30uM_4h_05 L2A_30uM_4h_06 L2A_30uM_4h_07 OA_50uM_10min_02 OA_50uM_10min_03 OA_50uM_10min_04 OA_50uM_10min_05 OA_50uM_10min_06 OA_50uM_1h_01 OA_50uM_1h_02 OA_50uM_1h_04 OA_50uM_1h_06 OA_50uM_1h_07 OA_50uM_1h_08 OA_50uM_1h_09 OA_50uM_1h_10 OA_50uM_24h_01 OA_50uM_24h_02 OA_50uM_24h_05 OA_50uM_2h_04 OA_50uM_2h_09 OA_50uM_30min_01 OA_50uM_30min_02 OA_50uM_30min_03 OA_50uM_30min_04 OA_50uM_30min_07 OA_50uM_30min_08 OA_50uM_30min_09 OA_50uM_4h_01 OA_50uM_4h_02 OA_50uM_4h_03 OA_50uM_4h_04 PA_10uM_10.min_01 PA_50uM_10min_01 PA_50uM_10min_05 PA_50uM_10min_08 PA_50uM_10min_09 PA_50uM_10min_10 PA_50uM_12h_01 PA_50uM_12h_02 PA_50uM_12h_03 PA_50uM_12h_04 PA_50uM_12h_05 PA_50uM_12h_06 PA_50uM_1h_01 PA_50uM_1h_03 PA_50uM_1h_04 PA_50uM_1h_07 PA_50uM_1h_08 PA_50uM_1h_09 PA_50uM_1h_10 PA_50uM_1h_11 PA_50uM_1h_12 PA_50uM_24h_02 PA_50uM_2h_01 PA_50uM_2h_03 PA_50uM_2h_04 PA_50uM_30min_01 PA_50uM_30min_03 PA_50uM_30min_08 PA_50uM_30min_09 PA_50uM_30min_10 PA_50uM_30min_11 PA_50uM_3d_01 PA_50uM_3d_02 PA_50uM_8h_02 PA_50uM_8h_03 PA_50uM_8h_04 PA_50uM_8h_05 PA_50uM_8h_06
1792,1792,1792,2422,limited nutrients,Starvation_1254_OA50_12h_03 Starvation_1254_OA50_12h_04 Starvation_1254_OA50_24h_01 Starvation_1254_OA50_24h_02 Starvation_1254_OA50_24h_03 Starvation_1254_OA50_24h_04 Starvation_1254_OA50_3d_01 Starvation_1254_OA50_3d_02 Starvation_1254_OA50_3d_03 Starvation_1254_OA50_3d_04 Starvation_1254_OA50_5d_01 Starvation_1254_OA50_5d_02 Starvation_1254_OA50_5d_03 Starvation_1254_OA50_5d_04 Starvation_1254_OA50_6h_02 Starvation_1254_OA50_6h_03 Starvation_1254_OA50_6h_04 Starvation_1254_PA50_24h_01 Starvation_1254_PA50_24h_02 Starvation_1254_PA50_24h_03 Starvation_1254_PA50_24h_04 Starvation_1254_PA50_6h_01 Starvation_1254_PA50_6h_02 Starvation_OA50_24h_01 Starvation_OA50_24h_02 Starvation_OA50_24h_03 Starvation_OA50_24h_04 Starvation_1254_OA50_12h_01 Starvation_1254_OA50_12h_02
1793,1793,1793,2423,limited - carbon source,aceatate.induction.1 Acetate.3mM.10m.01 Acetate.3mM.10m.03 Acetate.3mM.10m.05 Acetate.3mM.10m.06 Acetate.3mM.10m.07 Acetate.3mM.10m_04 Acetate.3mM.2h.01 Acetate.3mM.2h.02 Acetate.3mM.2h.03 Acetate.3mM.2h.04 Acetate.3mM.2h.05 Acetate.3mM.2h.06 Acetate.3mM.30m.01 Acetate.3mM.30m.02 Acetate.3mM.30m.03 Acetate.3mM.30m.04 Acetate.3mM.30m.05 Acetate.3mM.30m.06 Acetate.3mM.30m.07 Acetate.3mM.30m.08 Acetate.3mM.60m.01 Acetate.3mM.60m.02 Acetate.3mM.60m.03 Acetate.3mM.60m.04
